event name,type of event,set up,show day,dismantle,pax,venue
Rakerwil BRI Jakarta 3,Meeting,2023-01-04,2023-01-04,2023-01-04,301.0,Nusantara 1AB
Meeting IWABRI Jakarta 3,Meeting,2023-01-05,2023-01-05,2023-01-05,50.0,Garuda Room 5AB
Meeting Kominfo,Meeting,2023-01-05,2023-01-05,2023-01-05,170.0,Garuda Main Hall 1AB & 2A
Wedding Giovani & Gunawan,Wedding,2023-01-07,2023-01-07,2023-01-07,300.0,Garuda Main Hall 1AB
Shooting Iklan Suzuki by Sevensunday,Shooting,2023-01-08,2023-01-09,2023-01-09,50.0,Selasar Hall 3-3A & Canopy Hall 6
TWS Global System Convention,Meeting,2023-01-06,2023-01-06,2023-01-10,3000.0,"Sriwijaya Hall, Nusantara 1AB & Garuda Room 5AB"
Perayaan Natal Bersama BUMN 2023,Religious,2023-01-13,2023-01-14,2023-01-14,10000.0,Hall 5 - 7
Ohana Wedding Party,Exhibition,2023-01-12,2023-01-14,2023-01-16,2000.0,Hall 10
National Program SML 2023,Meeting,2023-01-16,2023-01-17,2023-01-17,2000.0,Nusantara Hall
Meeting Kementerian PUPR Bina Marga,Meeting,2023-01-16,2023-01-16,2023-01-19,200.0,Garuda Main Hall & Nusantara 1
Meeting Kementerian PUPR Bina Marga PIC Ibu Tasya,Meeting,2023-01-16,2023-01-16,2023-01-19,50.0,Garuda Room 6AB
Meeting Sinarmasland,Meeting,2023-01-18,2023-01-18,2023-01-20,45.0,Garuda Room 10
Meeting Kementerian ATR,Meeting,2023-01-18,2023-01-18,2023-01-21,220.0,Nusantara 2
